"","Site","Treatment","VegHt","LineWidth","Dist2Water_km","LD250","LD500","LD750","LD1000","LD1250","low500"
"1","Algar01","Control",1.56666666666667,6.5,0.230325863880224,5.13596953241239,3.72414608465441,3.83156242637032,3.80022878406647,3.41808313129009,0.433360109061985
"2","Algar02","Control",1.55333333333333,8.5,1.9680823763194,5.20000469347071,2.56938184583332,2.73290727145125,2.95213987048838,2.54722762226787,0.531438333529785
"3","Algar03","Control",0.316666666666667,5,0.110385347847885,8.78815377825285,4.10139090102639,3.44697289344999,2.90893458827913,2.47341975527167,0.643916016650241
"4","Algar04","Control",1.62666666666667,5,0.977692171102338,5.10662457001605,4.3388703556247,3.17642996951226,2.39551321771203,1.84633201359655,0.634503057471868
"5","Algar05","Control",0.53,6,1.547043971623,12.5288197260412,6.16831728162544,3.87380955785982,2.80828522950139,2.21386113265281,0.424805711385087
"6","Algar06","Control",3.5,9,1.51131800228491,10.1191759390432,9.20253356578537,8.30748896171968,6.27928123009941,5.26546379969934,0.434684761909821
"7","Algar07","Control",0.6,6,1.33416604696142,13.1696361734358,8.5251379817496,6.94416491222958,6.49826868464637,6.13595591914495,0.771973653653599
"8","Algar08","Control",1.99333333333333,7,0.999141902405244,14.2279803248662,7.41370737464755,5.64412001932627,5.06395118395197,4.8325946940213,0.390659190867651
"9","Algar09","Control",0.53,7,1.78605373990035,8.17012355884582,4.11678350240943,3.56994618454972,3.31208344802632,4.09289382029581,0.815258146546084
"10","Algar10","Control",0.443333333333333,3,2.42797224711419,3.30636922478105,4.99224133097866,3.74694361707542,3.29607779497398,2.97375036827789,0.910881687430118
"11","Algar11","Control",0.45,7.5,0.585239247150047,5.10303447347362,2.53566435689375,1.94377564713597,1.7611315547984,1.66310089477539,0.505467658993727
"12","Algar12","Control",1.43,7,0.135329213110292,4.67033343166782,2.53770534924469,3.40663518242999,3.47871199560841,3.29749021087777,0.662007192431609
"13","Algar13","SPP",0.406666666666667,6,1.55406707944543,5.19787961878511,4.15217070152924,4.19081958871915,3.48924070205894,3.7240707511588,0.870791471028919
"14","Algar14","SPP",1.38333333333333,9,3.79300742901276,9.17990296764445,5.04676668018204,3.67016024571131,2.86573274838168,2.74643731098299,0.873740289333194
"15","Algar15","SPP",1.21333333333333,7,0.244075793390411,5.12569449035468,2.54943885039583,1.53189773321917,1.12411421099054,1.44250842867521,0.565560330243731
"16","Algar16","SPP",0.366666666666667,6,1.830708349614,6.89405075326006,7.13864925891496,6.70315201979571,6.37414306315987,5.62494130875189,0.486766606242162
"17","Algar17","SPP",0.25,6,1.26736975495138,9.75001490882994,8.37080924457671,7.25273875776701,6.83384521729822,6.17491600212404,0.886792944136765
"18","Algar18","SPP",1.08666666666667,7,1.40023573210326,9.87812076860921,7.88865016182157,6.0473975722427,5.41495785299347,5.35325265113092,0.727166312422841
"19","Algar19","SPP",0.543333333333333,5,2.84979386840814,4.18269331372845,2.33005505123978,2.807176962891,2.30075738528886,2.29519006076449,0.814086845804358
"20","Algar20","SPP",0.496666666666667,5,2.0362674560573,7.30187970630963,5.65196935602887,3.39384276883236,2.38598302752077,1.89713562354809,0.928716309935411
"21","Algar21","SPP",1.26,7,0.863203275897554,4.35052919397381,2.37724434967032,1.62455590825643,1.82962814290572,1.89953926241349,0.401668288144371
"22","Algar22","SPP",1.51,7.5,0.554892733829295,4.33207028511316,3.77881376090268,3.20014395609824,3.31636654127373,3.05028823056978,0.645191542719319
"23","Algar23","SPP",1.00333333333333,4,0.557586671521958,9.6235995512769,5.01567045565726,3.37684763219252,2.69537913949368,2.81969858799136,0.516901561500215
"24","Algar24","SPP",0.613333333333333,6,3.00081651105247,5.02602807475527,5.07005170626369,4.47228370174845,3.97142679904962,3.22455600265318,0.709908423300585
"25","Algar25","SPP",1.75666666666667,8,2.4975101885041,5.16686918003964,2.55271928320272,1.69479130883891,2.11088053397917,2.08276927989296,0.796659740266879
"26","Algar26","SPP",1.37666666666667,8,0.95620551594769,10.0977398803982,4.55100327242485,4.19441037967235,3.90020626321988,4.0183340621275,0.303051668777833
"27","Algar27","HumanUse",0.476666666666667,9,4.58116423109308,14.6427504391233,7.39685839552818,5.93043407589247,5.6749035919234,4.78138548468596,0.822615004522758
"28","Algar28","SPP",1.03666666666667,7,0.703622783564833,5.11927936308793,6.29283627331116,5.20987564021317,4.78511693141169,4.23895145787285,0.558974997623052
"29","Algar29","HumanUse",0.78,6,0.408094345004211,13.4983713843585,8.6462604380476,6.16568854278599,4.51347349428434,3.61140089949709,0.644446668580455
"30","Algar30","SPP",2.01666666666667,7,5.54941525707124,9.40731427350631,8.53478913386506,6.03436648380552,4.61440686117486,4.05481603661602,0.657930989473444
"31","Algar31","HumanUse",0.973333333333333,6.5,5.84387790229979,9.77860868116056,7.49861731743353,5.83650610579602,4.74028894922991,4.07300653710176,0.605463540433701
"32","Algar32","SPP",1.07,8,6.77265810450833,5.13600088750034,4.71533372373534,4.47538676572271,3.4917731699053,2.7657541672809,0.558681801438488
"33","Algar33",NA,NA,NA,7.27508423330537,5.18718569801954,2.58787308479816,2.88154731089193,3.08495473421794,2.65194977877935,0.69439625201525
"34","Algar34","NatRegen",0.733333333333333,8,0.918923864987566,10.2063847202647,5.23065129940497,5.74778183936048,5.88815699820996,6.03171983937893,0.540847018753342
"35","Algar35","HumanUse",0.936666666666667,7,2.15002328195267,5.13855032274279,4.72730913575427,3.37431022473966,3.38800138039735,2.8706806593466,0.679802858573925
"36","Algar36","NatRegen",1.31333333333333,4,1.18514520369318,6.68569246261723,5.26397041670575,5.94658359318075,5.68107997980723,5.61349033908148,0.781320826738267
"37","Algar37","HumanUse",0.326666666666667,8,3.14986232311143,7.65291880481618,3.70973051254332,3.31037895400588,4.19891458007287,4.44310634687719,0.943951781104837
"38","Algar38","HumanUse",0.496666666666667,9,4.38101928439437,9.14642104895306,4.70022626708508,3.70761714846534,3.12987562040683,2.60704567825436,0.939944684782606
"39","Algar39","HumanUse",0.27,7,2.79881683429791,5.14453727200934,3.60697082884927,3.2647169765147,3.9317107989215,3.41751292668115,0.965107651665862
"40","Algar40","SPP",1.43333333333333,4.5,3.10528624682589,8.4534820491943,4.05274885087211,2.94412826799566,3.42916365424902,3.59012914764046,0.949206439576718
"41","Algar41","SPP",1.25,8.5,5.75292000821047,8.42320020477052,5.3707147146327,3.79440253700661,3.26860303488737,2.65685247548625,0.964747101281018
"42","Algar42","SPP",0.396666666666667,6,1.99802521653425,5.10024529293718,3.69300079962809,2.94957094919937,3.54148647634437,3.46755601183575,0.813110485044054
"43","Algar43","SPP",1.48333333333333,6.5,0.525206833521588,9.22571210261346,4.98645102195416,3.76543514551744,3.5479506656833,3.1425380817228,0.592871198759037
"44","Algar44","HumanUse",0.82,6,0.945685452404273,4.96832231003,2.32160437453047,1.93843926630591,1.60664215403494,1.34302626663771,0.456728903814404
"45","Algar45","HumanUse",1.14,6,2.18862510760162,7.16965718927366,5.18638877236115,4.19696227324645,3.54240222740958,3.04502796009989,0.790743560834414
"46","Algar46","NatRegen",1.67666666666667,9,0.626712892549734,9.81542648663392,4.94726230591399,4.01541916715956,4.51692513147023,4.32212552650245,0.983631643094123
"47","Algar47","HumanUse",0.506666666666667,8,1.81013843087995,5.2012802507513,2.56870825628906,3.2346505394796,3.7811432723552,4.08677940380032,0.297696640648645
"48","Algar48","HumanUse",0.29,8,2.16510533042443,12.6876103711337,6.27299222080675,4.09819058503578,3.3451020966618,3.51656509838315,0.661641971546077
"49","Algar49","NatRegen",1.94,5.5,0.0393072912735605,5.10489457645942,1.95495841045385,1.14931632810013,1.81639746001746,1.76177865092617,0.413546105495503
"50","Algar50","SPP",1.06666666666667,6,5.15182010211545,12.8402043046833,10.3170973400893,7.24633770736415,5.40873891132372,4.88037072391291,0.983631643093202
"51","Algar51","SPP",0.326666666666667,3,3.81256150270829,14.9875540752094,9.77824958293755,6.94721210615207,5.3011536162447,4.58584164736789,0.951221719748697
"52","Algar52","NatRegen",7.33333333333333,8,4.92896358309928,5.14005020404128,2.59606358876408,1.71788496307923,1.82674306518696,1.72288373725832,0.546849060012302
"53","Algar53","NatRegen",1.51,6,0.226896304697266,5.34703366027539,2.63755230416966,2.77600777589343,3.17334179045244,2.78495941571194,0.751607260650032
"54","Algar54","NatRegen",0.35,8,1.05186738666216,5.32942892518875,3.48310903918829,3.89567869959667,3.3859166777734,2.88018206578422,0.489675593705892
"55","Algar55","HumanUse",0.406666666666667,7,0.512820643019796,8.01017143836115,4.55149005716531,3.34946392683945,2.47536153232029,1.99104905197137,0.507711614177996
"56","Algar56","SPP",1.08,6,0.50934570274965,5.21574706010633,2.5759316666551,3.44392008271484,2.95213042764683,2.61793087352142,0.545596816587693
"57","Algar57","NatRegen",1.53333333333333,7,2.71519649898656,5.18827641361851,2.56201676918651,1.70908822469681,1.27848859985137,1.29089008867707,0.148070401089917
"58","Algar58","NatRegen",0.923333333333333,7.5,1.38600142292145,5.14237453685531,4.09512680418901,3.18378923612196,3.83474030573101,3.36845124591682,0.472053608145478
"59","Algar59","NatRegen",1.1,6,0.683488114693239,5.2983890620676,2.68656257718499,2.81408255807046,3.07647031182742,2.85047316082772,0.948108261405841
"60","Algar60","HumanUse",1.39666666666667,8,1.337777989544,5.29869405446649,2.59575887922937,2.40337869695073,1.93856178406449,2.82543175437909,0.805747410412761
