"","CamStation","low250","low500","low750","low1000","low1250","low1500","low1750","low2000"
"1","Algar01",0.487507689744294,0.433360109061985,0.402337966045428,0.424943416492185,0.417069958754625,0.456586963032786,0.499484624393935,0.531286477009202
"2","Algar02",0.588356526397362,0.531438333529785,0.566527497036564,0.611183052735434,0.664903546171604,0.688315172256377,0.71446602664828,0.725868306200439
"3","Algar03",0.695688343785087,0.643916016650241,0.704180789088958,0.743321815338565,0.762073283842568,0.782410222301596,0.800398501676153,0.81139338749943
"4","Algar04",0.769840594247959,0.634503057471868,0.550783119261076,0.54792336509957,0.547177560264723,0.510288013391173,0.436828427142338,0.380433036177834
"5","Algar05",0.591161568875917,0.424805711385087,0.268855819392493,0.216639351323955,0.204017967880243,0.212918208509124,0.222166648734024,0.219218260849506
"6","Algar06",0.23534858399349,0.434684761909821,0.481672374482303,0.466272557191526,0.484478991982801,0.485179682123921,0.477313542443955,0.462230585112656
"7","Algar07",0.804031614826598,0.771973653653599,0.757710166545622,0.673441429236088,0.640325633468408,0.646420840217786,0.645332433855481,0.658959747353343
"8","Algar08",0.140501918046584,0.390659190867651,0.507344732386459,0.57441884257225,0.635202518917728,0.652548574001205,0.662732578524879,0.66088414123322
"9","Algar09",0.79579466834027,0.815258146546084,0.758823832741001,0.759578537943129,0.756368933781008,0.737968199969101,0.740963559954236,0.724008339284827
"10","Algar10",0.983631643055509,0.910881687430118,0.86132921657248,0.877261730839315,0.867644765937308,0.832123429287562,0.766927789877073,0.703319659898122
"11","Algar11",0.480972504532387,0.505467658993727,0.430931011251754,0.365260882992768,0.363153551874072,0.422908992000869,0.440583273790554,0.436875600388172
"12","Algar12",0.679980787574866,0.662007192431609,0.657336994022146,0.633493067630882,0.568741773069808,0.511190933221454,0.452275832882018,0.418209227686415
"13","Algar13",0.856493580451482,0.870791471028919,0.747604942722453,0.729166643107006,0.72897014190716,0.712831772523176,0.660163564500958,0.597542915736047
"14","Algar14",0.764989999966804,0.873740289333194,0.796442122166517,0.666546286682878,0.648723645123152,0.658321715713075,0.671973163049624,0.695567555670788
"15","Algar15",0.454607646151734,0.565560330243731,0.60444860619538,0.642100648578662,0.654195459399377,0.63789393136335,0.606020423759369,0.571783090869715
"16","Algar16",0.685586656274287,0.486766606242162,0.458895761746059,0.459910132686827,0.447018736528948,0.426867891330597,0.433907634739669,0.441511656488229
"17","Algar17",0.912584318318175,0.886792944136765,0.803170851773089,0.729660364125923,0.675730401160835,0.652669084307613,0.651269701381802,0.678601416230218
"18","Algar18",0.925961491569569,0.727166312422841,0.70837733537346,0.737496924345475,0.76186353877724,0.734677489125301,0.688167441718942,0.670755854094285
"19","Algar19",0.857905650348621,0.814086845804358,0.800969107129985,0.822815020655048,0.826512880591501,0.812360090866669,0.809889981668552,0.777275318723488
"20","Algar20",0.98363164305002,0.928716309935411,0.915804554177643,0.8999052380266,0.844329531864705,0.796878693038345,0.784112085389562,0.767099275480785
"21","Algar21",0.601504502535633,0.401668288144371,0.428101543872531,0.4355319355472,0.432021196841978,0.446040078609237,0.458793480831959,0.460921527139925
"22","Algar22",0.929011256919937,0.645191542719319,0.606873475927877,0.572804690815454,0.628149596185009,0.620093638008214,0.597190927404842,0.538475970830732
"23","Algar23",0.496923253546413,0.516901561500215,0.515907458013937,0.506594540099158,0.484936638626959,0.466150764053155,0.453214543111401,0.455414609990605
"24","Algar24",0.949830625694233,0.709908423300585,0.733808257801074,0.745537328474013,0.762906031075157,0.786790267580368,0.810878204964013,0.829941716631244
"25","Algar25",0.902403711779433,0.796659740266879,0.761156092302938,0.74888394958424,0.701392035763056,0.65784736059025,0.610675361336315,0.609072243949484
"26","Algar26",0.151964741434349,0.303051668777833,0.330361978323028,0.430277126148609,0.484122215020689,0.5355225005086,0.57270693686791,0.616401379231418
"27","Algar27",0.983631643050552,0.822615004522758,0.813217223710651,0.785224738655321,0.732723090138588,0.708593233234546,0.721260797616792,0.727440894362875
"28","Algar28",0.409836767846273,0.558974997623052,0.580736169322768,0.590772758414214,0.617930165327712,0.61817939814433,0.63498046606503,0.648601034308833
"29","Algar29",0.5608638376524,0.644446668580455,0.630149244651582,0.595345698418524,0.626681568463841,0.633145969088808,0.651180425520879,0.643591748957216
"30","Algar30",0.653294049232029,0.657930989473444,0.681480047788225,0.693342218736295,0.69765088129877,0.675788007725036,0.642216933256811,0.608074712914546
"31","Algar31",0.18684144600469,0.605463540433701,0.699528784018709,0.775906646787079,0.833689577260846,0.874805602423727,0.898155874250871,0.915227962313696
"32","Algar32",0.42470662888379,0.558681801438488,0.586773130362602,0.668035978372232,0.670609929506843,0.659731177621905,0.645178673345636,0.61303159557333
"33","Algar33",0.451403759472159,0.69439625201525,0.645504317065936,0.686860273468024,0.682177974909724,0.643826507452058,0.611845585939277,0.595720161845672
"34","Algar34",0.547942417121735,0.540847018753342,0.576761865104307,0.653182721969712,0.633907952240851,0.619602570558143,0.609021389177508,0.5967359747808
"35","Algar35",0.596506724780904,0.679802858573925,0.631310433786587,0.613664292010301,0.591273283267144,0.603771547029063,0.62561254529668,0.65423664799673
"36","Algar36",0.899594260839629,0.781320826738267,0.6419976106621,0.652561240933919,0.653976503780529,0.636000205660319,0.629862181877613,0.636139357594836
"37","Algar37",0.983615867512759,0.943951781104837,0.925444506351391,0.917868199947705,0.92038737757671,0.919088067268692,0.90717235197623,0.901300502544674
"38","Algar38",0.983631643053946,0.939944684782606,0.835103781078566,0.769298494232803,0.742246894506981,0.721908568177495,0.737811191218521,0.767855699400006
"39","Algar39",0.983631643052548,0.965107651665862,0.952720366851,0.906996488022939,0.89167489155086,0.896914599404378,0.880156121927522,0.875440754711702
"40","Algar40",0.975206004874978,0.949206439576718,0.934123349393779,0.918436862007415,0.884357353113963,0.844339064894392,0.809673938966846,0.790765869909238
"41","Algar41",0.915273134684699,0.964747101281018,0.912485531559696,0.881655392720941,0.858037025841058,0.85224446393745,0.853690111412466,0.860837285217969
"42","Algar42",0.607268000133685,0.813110485044054,0.877995359626316,0.891389819682785,0.88727601124702,0.884092831167266,0.869217295685095,0.853384172633297
"43","Algar43",0.461137245935024,0.592871198759037,0.623389967966389,0.567651977800919,0.543817288234697,0.537803444049618,0.541013519374395,0.53050858734875
"44","Algar44",0.810971342124405,0.456728903814404,0.349831989831554,0.325647498054939,0.326370481229213,0.3545988127107,0.361702728784454,0.362319674382315
"45","Algar45",0.910087633980953,0.790743560834414,0.780733614760427,0.78553805132786,0.778275639568489,0.776180295919217,0.779832702852649,0.782434372043152
"46","Algar46",0.983631643052659,0.983631643094123,0.930447852912032,0.865232186528498,0.820327576025909,0.758267525144923,0.677598794913892,0.604846945861042
"47","Algar47",0.214765441476846,0.297696640648645,0.442036291156096,0.480330489816856,0.519225095089949,0.539981980074186,0.545459270592719,0.539726514700665
"48","Algar48",0.8432057474565,0.661641971546077,0.639949072969755,0.59157944438367,0.544677540993007,0.57699625592614,0.625643257712035,0.654389256847491
"49","Algar49",0.300969019236269,0.413546105495503,0.519312167276373,0.59902120316761,0.589859399445124,0.555106074684271,0.50937949213496,0.504521075642193
"50","Algar50",0.983631643054245,0.983631643093202,0.983631643080989,0.983631643082263,0.971132826880966,0.933752737886957,0.939234951699448,0.932527673262886
"51","Algar51",0.919456590411891,0.951221719748697,0.955373734919926,0.962907414235341,0.962386424144116,0.95727313303363,0.956707916006731,0.955329453325242
"52","Algar52",0.58977491726508,0.546849060012302,0.55725155894785,0.616190289201901,0.66495034269695,0.686835606287581,0.713726092325735,0.72496744328076
"53","Algar53",0.856078695505246,0.751607260650032,0.733274908993044,0.773930416328958,0.802777755662814,0.758986188561256,0.71308161699396,0.682461109610348
"54","Algar54",0.578405761585009,0.489675593705892,0.503030388113354,0.511930151482543,0.473334609396207,0.455239909930065,0.448461642763619,0.448761309157995
"55","Algar55",0.653945339114729,0.507711614177996,0.536286945036019,0.592373071081649,0.599043815607243,0.60069592851348,0.54347047518513,0.51056424994329
"56","Algar56",0.546550150589441,0.545596816587693,0.498821367619711,0.436821859250873,0.376505750464614,0.36375822617126,0.361882417071858,0.385558400276731
"57","Algar57",0.144515142726226,0.148070401089917,0.141929022357171,0.168493074610695,0.177358054629606,0.155269039530406,0.164348604088983,0.158998980238351
"58","Algar58",0.456987233724708,0.472053608145478,0.489024645272945,0.486521454285043,0.510524361109067,0.509819212749903,0.487156793599265,0.476737445049778
"59","Algar59",0.846444399902069,0.948108261405841,0.964091948442136,0.951281397184231,0.888760157783708,0.828983000445378,0.788823233563888,0.752847016903421
"60","Algar60",0.811577726949472,0.805747410412761,0.878193129951171,0.893894451774255,0.868210141464678,0.813807173396599,0.762699371730264,0.739474008791823
